instance very-nice-solver another-good-tool
instance1 4.6136 4.6136
instance2 17.197 27.197
instance3 80.8731 125.8731
instance4 66.8706 58.8706
instance5 199.701 287.701
instance6 1.3634 1.3634
instance7 102.321 101.321
instance8 45.8964 71.8964
instance9 58.8135 77.8135
instance10 1.9281 1.9281
instance11 123.5724 165.5724
instance12 128.645 212.645
instance13 117.9125 107.9125
instance14 54.3457 78.3457
instance15 133.7901 213.7901
instance16 143.2799 127.2799
instance17 44.1856 71.1856
instance18 112.592 157.592
instance19 134.6126 120.6126
instance20 2.4147 2.4147
instance21 164.851 252.851
instance22 69.6312 68.6312
instance23 74.5844 109.5844
instance24 196.5466 277.5466
instance25 184.3031 183.3031
instance26 36.4459 51.4459
instance27 5.4189 7.4189
instance28 182.6557 177.6557
instance29 163.3557 266.3557
instance30 126.5003 191.5003
instance31 119.1347 112.1347
instance32 152.3262 238.3262
instance33 141.9863 195.9863
instance34 194.9343 179.9343
instance35 38.2602 56.2602
instance36 176.7886 256.7886
instance37 41.7866 41.7866
instance38 47.516 76.516
instance39 83.8463 127.8463
instance40 112.9365 101.9365
instance41 19.5951 31.5951
instance42 485.5096 664.5096
instance43 231.7043 207.7043
instance44 21.1671 31.1671
instance45 321.2542 515.2542
instance46 398.7485 373.7485
instance47 472.182 764.182
instance48 551.279 825.279
instance49 191.2439 175.2439
instance50 65.6477 90.6477
instance51 54.5806 89.5806
instance52 306.7591 296.7591
instance53 274.3517 426.3517
instance54 160.419 251.419
instance55 387.1159 359.1159
instance56 303.1698 438.1698
instance57 582.7249 888.7249
instance58 306.2356 299.2356
instance59 406.7282 633.7282
instance60 221.8447 314.8447
instance61 445.1688 433.1688
instance62 294.5508 446.5508
instance63 544.9736 864.9736
instance64 84.1849 80.1849
instance65 492.8131 662.8131
instance66 397.1919 605.1919
instance67 487.3995 448.3995
instance68 293.9778 453.9778
instance69 221.7435 354.7435
instance70 590.4992 525.4992
instance71 552.754 783.754
instance72 1000.0 1000.0
instance73 74.5493 70.5493
instance74 543.2072 796.2072
instance75 484.566 786.566
instance76 895.2961 804.2961
instance77 614.2801 994.2801
instance78 590.3233 852.3233
instance79 261.3116 260.3116
instance80 1000.0 1000.0
instance81 673.9072 943.9072
instance82 560.4319 509.4319
instance83 894.45 1000.0
instance84 237.2308 368.2308
instance85 749.3951 724.3951
instance86 242.3616 354.3616
instance87 712.2565 1000.0
instance88 1000.0 875.0
instance89 90.243 137.243
instance90 557.5511 789.5511
instance91 432.9616 428.9616
instance92 510.4372 687.4372
instance93 142.9602 216.9602
instance94 392.9865 365.9865
instance95 428.84 652.84
instance96 772.1114 1000.0
instance97 346.7964 307.7964
instance98 379.4744 610.4744
instance99 788.865 1000.0
instance100 410.851 371.851
